place_id,nama_tempat,alamat,jenis_bisnis,rating,jumlah_review,jam_operasional,harga_start,harga_end,latitude,longitude,telepon,website,keyword,jalan,kelurahan,kecamatan,kota,provinsi
ChIJM8Z21pWPcC4R_1YoKWWqk6w,IKIMARU UDON & TEMPURA,"Jl. Gondang Raya No.33, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277, Indonesia",Restoran,4.9,609,Senin: 12.00–21.00 | Selasa: 12.00–21.00 | Rabu: 12.00–21.00 | Kamis: 12.00–21.00 | Jumat: 12.00–21.00 | Sabtu: 12.00–21.00 | Minggu: 12.00–21.00,25000.0,50000.0,-7.0644578,110.4407089,,,ramen,Jl. Gondang Raya No.33,Bulusan,Tembalang,Semarang,Jawa Tengah
ChIJ6594juOPcC4Rt2KVaqxJBQ4,RAMENDOMI TEMBALANG,"Jl. Mulawarman Tim. Dalam No.78, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50278, Indonesia",Toko Makanan,4.7,21,Senin: 15.00–23.00 | Selasa: 15.00–23.00 | Rabu: 15.00–23.00 | Kamis: 15.00–23.00 | Jumat: 15.00–23.00 | Sabtu: 15.00–23.00 | Minggu: 15.00–23.00,1.0,25000.0,-7.0687805,110.4442019,0822-2598-2098,,ramen,Jl. Mulawarman Tim. Dalam No.78,Bulusan,Tembalang,Semarang,Jawa Tengah
ChIJkcxlQACNcC4RceBBul1JCLs,Joffi Ramen Sambiroto,"Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah, Indonesia",Restoran Ramen,4.8,499,Senin: 10.00–22.00 | Selasa: 10.00–22.00 | Rabu: 10.00–22.00 | Kamis: 10.00–22.00 | Jumat: 10.00–22.00 | Sabtu: 10.00–22.00 | Minggu: 10.00–22.00,25000.0,50000.0,-7.0294678,110.4589629,,,ramen,,Sambiroto,Tembalang,Semarang,Jawa Tengah
ChIJ8XhuNqiOcC4Rq1zSk6R-XsI,Nagoya Ramen & Sushi,"Jl. KH. Sirojudin No.22A, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275, Indonesia",Restoran Jepang,4.2,411,Senin: 09.00–21.00 | Selasa: 09.00–21.00 | Rabu: 09.00–21.00 | Kamis: 09.00–21.00 | Jumat: 09.00–21.00 | Sabtu: 09.00–21.00 | Minggu: 09.00–21.00,1.0,25000.0,-7.0571796,110.435635,0815-1602-220,,ramen,Jl. KH. Sirojudin No.22A,Tembalang,Tembalang,Semarang,Jawa Tengah
ChIJS8QcGhSPcC4RH-qUOppx_sM,Mizu Ramen,"Jl. Timoho Raya, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,5.0,14,Senin: 15.00–21.00 | Selasa: 15.00–21.00 | Rabu: 15.00–21.00 | Kamis: 15.00–21.00 | Jumat: 15.00–21.00 | Sabtu: 15.00–21.00 | Minggu: 15.00–21.00,1.0,25000.0,-7.0601939,110.4425671,0813-9190-9666,,ramen,Jl. Timoho Raya,Bulusan,Tembalang,Semarang,Jawa Tengah
ChIJA4Y9XwCNcC4Rfm4DkmVVIFQ,Enake Japanese Food Kedungmundu,"Jl. Kedungmundu No.250, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273, Indonesia",Restoran Jepang,4.3,535,Senin: 15.00–23.00 | Selasa: 15.00–23.00 | Rabu: 15.00–23.00 | Kamis: 15.00–23.00 | Jumat: 15.00–23.00 | Sabtu: 15.00–23.00 | Minggu: 15.00–23.00,25000.0,50000.0,-7.0226074,110.458246,0857-0469-2150,,ramen,Jl. Kedungmundu No.250,Kedungmundu,Tembalang,Semarang,Jawa Tengah
ChIJ7fQrTwCNcC4Rc4AMI-26Jvk,"Takoyaki Pekoo Pekoo, Unimus","Jl. Fatmawati No.177, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50246, Indonesia",Restoran Jepang,5.0,54,Senin: 14.30–22.15 | Selasa: 14.30–22.15 | Rabu: 14.30–22.15 | Kamis: 14.30–22.15 | Jumat: 14.30–22.15 | Sabtu: 14.30–22.15 | Minggu: 14.30–22.15,25000.0,50000.0,-7.0236276,110.4683509,0895-2706-0066,https://www.instagram.com/pekoo_pekoo?igsh=Z3d0eDM1emluejdk,ramen,Jl. Fatmawati No.177,Kedungmundu,Tembalang,Semarang,Jawa Tengah
ChIJ1S2kG3qNcC4RXt4PYx2VDMQ,Mak-Mak Coffee & Kitchen,"Ruko Kampung Jl. Semawis Raya No.16 Blk. A, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273, Indonesia",Restoran,4.9,1099,Senin: 10.00–22.00 | Selasa: 10.00–22.00 | Rabu: 10.00–22.00 | Kamis: 10.00–22.00 | Jumat: 10.00–22.00 | Sabtu: 10.00–22.00 | Minggu: 10.00–22.00,50000.0,75000.0,-7.0218064,110.4631573,0851-7313-0070,,ramen,Ruko Kampung Jl. Semawis Raya No.16 Blk. A,Kedungmundu,Tembalang,Semarang,Jawa Tengah
ChIJi4QR56mOcC4RLiK-gIaiKmQ,Depot Sukses Tembalang,"Jl. Jatimulyo No.5A, Pedalangan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50268, Indonesia",Restoran Jepang,4.5,3122,Senin: 12.00–21.00 | Selasa: 12.00–21.00 | Rabu: 12.00–21.00 | Kamis: 12.00–21.00 | Jumat: 12.00–21.00 | Sabtu: 12.00–21.00 | Minggu: 12.00–21.00,25000.0,50000.0,-7.0583573,110.434754,0851-0014-2202,,ramen,Jl. Jatimulyo No.5A,Pedalangan,Tembalang,Semarang,Jawa Tengah
ChIJO9v39CONcC4RofBewjPByhg,SHOYU JAPANESE FOOD - KLIPANG,"Ruko Klipang Niaga No.3, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Jepang,4.2,84,Senin: 11.00–21.00 | Selasa: 11.00–21.30 | Rabu: 11.00–21.30 | Kamis: 11.00–21.30 | Jumat: 11.00–21.30 | Sabtu: 11.00–21.30 | Minggu: 11.00–21.30,25000.0,50000.0,-7.042298499999999,110.4794225,0822-5888-8087,,ramen,Ruko Klipang Niaga No.3,Sendangmulyo,Tembalang,Semarang,Jawa Tengah
ChIJRxkHrEqMcC4RuCGDJxTh3Q0,Nori House,"XF8F+FFR, Jl. Perumahan Ketileng Indah, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran,4.8,25,Senin: 10.30–21.00 | Selasa: 10.30–21.00 | Rabu: 10.30–21.00 | Kamis: 10.30–21.00 | Jumat: 10.30–21.00 | Sabtu: 10.30–21.00 | Minggu: 10.30–21.00,,,-7.033754999999999,110.4736284,,,ramen,"XF8F+FFR, Jl. Perumahan Ketileng Indah",Sendangmulyo,Tembalang,Semarang,Jawa Tengah
ChIJn_1qYemNcC4RQVCRsmMQ5LI,Pak MOE Katsu dan Mie Ramen,"Jl. Klipang Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran,5.0,3,Senin: 15.30–21.00 | Selasa: 15.30–21.00 | Rabu: 15.30–21.00 | Kamis: 15.30–21.00 | Jumat: 15.30–21.00 | Sabtu: 15.30–21.00 | Minggu: Tutup,,,-7.0376688,110.4791277,0812-2509-7097,,ramen,Jl. Klipang Raya,Sendangmulyo,Tembalang,Semarang,Jawa Tengah
ChIJ_bqKBBiNcC4ROlbRDdvS2qY,Hambagu Japan Steak Rice,"XF6F+XC6 Biru Depo Air Minum, Jl. Klipang Raya, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Jepang,4.7,3,Senin: 10.00–22.00 | Selasa: 10.00–22.00 | Rabu: 10.00–22.00 | Kamis: 10.00–22.00 | Jumat: 10.00–22.00 | Sabtu: 10.00–22.00 | Minggu: 10.00–22.00,,,-7.0375844,110.4735108,,,ramen,"XF6F+XC6 Biru Depo Air Minum, Jl. Klipang Raya",Sendangmulyo,Tembalang,Semarang,Jawa Tengah
ChIJeQb0kBGPcC4RrEJTXn7eaUk,Warung Katsu J-pan,"Jl. Banjarsari No.29, Tembalang, Kec. Tembalang, Kota Semarang, Jawa Tengah 50275, Indonesia",Restoran Jepang,4.7,21,Senin: 10.00–19.30 | Selasa: 10.00–19.30 | Rabu: 10.00–19.30 | Kamis: 10.00–19.30 | Jumat: 10.00–19.30 | Sabtu: 10.00–19.30 | Minggu: Tutup,1.0,25000.0,-7.0597621,110.4385803,,,ramen,Jl. Banjarsari No.29,Tembalang,Tembalang,Semarang,Jawa Tengah
