Place ID,Nama Tempat,Alamat,Jenis Bisnis,Rating,Jumlah Review,Jam Operasional,Harga Start,Harga End,Latitude,Longitude,Telepon,Website,Keyword
ChIJ6fMwdzaMcC4R8Y2y6XRoDio,Bakmi Jowo Mas Agus,"XF69+X82, Jl. Gendong Raya, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.6,29,Senin: 17.00–00.00 | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: 17.00–00.00,,,-7.0376188,110.46828099999999,0819-0437-2937,,bakmi
ChIJ1-wrxbuPcC4RjQsFk1iq9hE,"MIE JAKARTA ""CITA RASA""","Jl. Gerungsari No.26, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277, Indonesia",Restoran Indonesia,4.8,123,Senin: 09.00–21.00 | Selasa: 09.00–21.00 | Rabu: 09.00–21.00 | Kamis: 09.00–21.00 | Jumat: 09.00–21.00 | Sabtu: 09.00–21.00 | Minggu: Tutup,1.0,25000.0,-7.057002799999999,110.44380299999999,,,bakmi
ChIJU8nrZlaMcC4RLOn2lTHcPcc,Bakmie Pak Wi',"XFM8+HM8, Jl. Amposari Raya, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273, Indonesia",Restoran Mie,4.5,44,Senin: 17.00–00.00 | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: 17.00–00.00,1.0,25000.0,-7.0160845,110.46671699999999,0821-2831-6087,,bakmi
ChIJJxgFttKNcC4RQ8rAtfeapGY,bakmi surabaya cak yanto,"XF3F+VP9, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.5,15,Senin: 17.00–22.00 | Selasa: 17.00–22.00 | Rabu: 17.00–22.00 | Kamis: 17.00–22.00 | Jumat: 17.00–22.00 | Sabtu: 17.00–22.00 | Minggu: Tutup,,,-7.045329499999999,110.4743525,0895-3367-24891,,bakmi
ChIJHxEffxqPcC4R9Vf5XuiZk4I,WARPAD Yamien & Ayam goreng,"Jl. Gondang Barat I No.7, Bulusan, Kec. Tembalang, Kota Semarang, Jawa Tengah 50277, Indonesia",Kedai Sarapan & Makan Siang,4.5,496,Senin: 10.00–21.00 | Selasa: 10.00–21.00 | Rabu: 10.00–21.00 | Kamis: 10.00–21.00 | Jumat: 10.00–21.00 | Sabtu: 10.00–21.00 | Minggu: Tutup,1.0,25000.0,-7.0627192,110.4389557,0823-3675-1133,,bakmi
ChIJrQVc_UaMcC4RTZfwIkFLgi4,Bakmi Jowo Mas Agus,"Jl. Sambiroto Raya No.6, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276, Indonesia",Restoran Mie,4.5,99,Senin: 17.00–02.00 | Selasa: 17.00–02.00 | Rabu: 17.00–02.00 | Kamis: 17.00–02.00 | Jumat: 17.00–02.00 | Sabtu: 17.00–02.00 | Minggu: 17.00–02.00,,,-7.0323598,110.45810999999999,0858-0213-9915,,bakmi
ChIJmz5rQmKNcC4RFDVi6Uh1NPU,Bakmi jowo dan nasi goreng bintang lima,"Depas puskesmas Jl. Kompol R Soekanto, Mangunharjo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Indonesia,5.0,16,Senin: 17.00–00.00 | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: 17.00–00.00,1.0,25000.0,-7.0447647,110.46085699999999,0813-2900-2728,,bakmi
ChIJp-L4MsuNcC4RuICWj6CBuJk,Bakmie Jowo Mas Jenggot,"Jl. Klipang Raya No.26, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272, Indonesia",Restoran Mie,4.3,27,,1.0,25000.0,-7.0372521,110.474049,,,bakmi
ChIJJxXt44COcC4RctS71K6-h98,Bakmi Surabaya,"Jalan Rowosari Raya, Jl. Talang Jl. Baskoro Raya, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271, Indonesia",Restoran Mie,3.8,10,Senin: 17.00–00.00 | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: 17.00–00.00,,,-7.058049899999999,110.4710327,0813-2669-4979,,bakmi
ChIJSXbLDACPcC4RLRlJoxtD-mU,Bakmi Kongsian,"Ruko, Ruko AD, Jl. Bukit Kencana Jaya Jl. Boulevard No.25, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271, Indonesia",Rumah Makan,4.8,20,,1.0,25000.0,-7.065351499999999,110.46101720000001,,,bakmi
